timestamp,city,temperature,description
2026-05-24T17:09:07.607Z,undefined,15.95,broken clouds
2026-05-24T19:23:17.205Z,undefined,14.28,clear sky
2026-05-24T21:02:18.913Z,undefined,13.22,clear sky
2026-05-24T23:01:03.734Z,undefined,13.28,clear sky
2026-05-25T04:15:14.422Z,undefined,13.4,overcast clouds
2026-05-25T10:18:58.885Z,undefined,19.51,broken clouds
2026-05-25T15:17:56.601Z,undefined,17.89,overcast clouds
2026-05-25T17:47:23.015Z,undefined,16.78,broken clouds
2026-05-25T19:48:04.883Z,undefined,15.11,scattered clouds
2026-05-25T21:15:10.102Z,undefined,15.11,scattered clouds
2026-05-25T23:10:07.953Z,undefined,13.45,scattered clouds
2026-05-26T04:00:43.073Z,undefined,12.34,scattered clouds
2026-05-26T10:04:42.973Z,undefined,20.44,few clouds
2026-05-26T15:51:49.148Z,undefined,21.23,broken clouds
2026-05-26T18:31:31.563Z,undefined,18.47,broken clouds
2026-05-26T21:48:45.655Z,undefined,15.67,few clouds
2026-05-26T23:13:15.907Z,undefined,15.11,few clouds
2026-05-27T04:14:34.035Z,undefined,14,clear sky
2026-05-27T10:02:58.973Z,undefined,24,few clouds
2026-05-27T15:56:26.055Z,undefined,23.51,scattered clouds
2026-05-27T18:30:41.712Z,undefined,20.95,scattered clouds
2026-05-27T22:00:25.329Z,undefined,18.45,clear sky
2026-05-28T04:02:56.683Z,undefined,15.67,scattered clouds
2026-05-28T10:12:27.803Z,undefined,21.78,broken clouds
2026-05-28T16:10:29.674Z,undefined,16.47,light rain
2026-05-28T20:29:52.736Z,undefined,14,overcast clouds
2026-05-28T23:21:31.466Z,undefined,14,broken clouds
2026-05-29T04:04:42.446Z,undefined,14,clear sky
2026-05-29T10:01:57.293Z,undefined,15.97,broken clouds
2026-05-29T15:51:30.110Z,undefined,14,broken clouds
2026-05-29T18:37:25.957Z,undefined,11.23,clear sky
2026-05-29T21:55:25.060Z,undefined,9,clear sky
2026-05-29T23:18:00.414Z,undefined,8.45,clear sky
2026-05-30T03:51:58.865Z,undefined,7.34,clear sky
2026-05-30T06:50:28.242Z,undefined,11.78,clear sky
2026-05-30T10:04:30.094Z,undefined,15.85,clear sky
2026-05-30T13:49:08.336Z,undefined,17.89,clear sky
2026-05-30T15:13:08.938Z,undefined,18.57,clear sky
2026-05-30T17:13:41.646Z,undefined,16.24,clear sky
2026-05-30T19:24:07.486Z,undefined,12.91,clear sky
